Frequency,Intensity
-561.6063,2313.3482
-448.5044,1348.4056
-426.9508,94.7867
-332.5497,253.9216
-239.8651,349.8135
77.9855,20.1651
89.2491,13.7239
101.2674,5.4164
123.7965,16.9537
126.3499,54.5791
136.7451,9.6000
151.4553,15.5769
163.2564,2.4225
163.8740,9.2015
199.0496,18.4993
200.3174,2.6381
226.1771,75.9099
258.1477,84.6947
261.2238,36.2126
283.0402,40.2527
295.3030,51.4398
308.9862,53.2755
317.5014,56.8418
321.3423,65.4351
327.8987,100.3027
354.7534,84.1332
382.7763,32.7623
397.5800,51.8007
401.4637,114.4706
418.4368,10.6920
424.8818,127.2822
447.0272,60.4390
472.3035,95.4743
477.9961,19.9344
525.9643,113.0173
541.5223,65.0672
559.1781,160.8422
588.3077,95.1799
603.2540,133.0759
609.4577,47.5174
620.2319,44.8323
637.5470,41.5576
674.1998,69.2371
683.5848,72.8788
691.9649,67.7760
712.5268,63.3574
720.0652,248.5699
747.1457,84.9580
758.8962,99.6683
798.9533,89.2711
807.8801,32.3345
825.7400,95.1878
841.4310,66.4702
855.7509,22.0015
863.0650,11.8265
888.9628,84.5914
898.0990,37.1739
928.7313,17.0454
942.8364,142.2601
956.8383,96.7314
973.6947,104.5994
982.6869,90.0223
995.2634,362.0872
1029.5648,92.1320
1042.3042,113.6315
1062.7692,14.3955
1077.5488,72.4868
1079.8868,71.6352
1093.4866,10.8150
1113.2388,44.3353
1123.1073,60.7241
1205.3127,122.5426
1244.2930,87.3464
1245.7196,87.6372
1299.9254,66.4761
1325.4371,39.4951
1348.9799,33.2992
1413.4853,9.6936
1511.1750,38.0707
3371.9854,45.6012
3380.3223,12.7116
3389.7920,83.1481
3395.4801,387.4664
3403.7286,246.4169
3407.0864,317.4822
3911.6159,541.7430
3925.4050,494.5834
