Frequency(cm^-1),Intensity
-347.2852,0.3994
-292.2583,0.8701
-286.2165,0.2658
-274.1963,1.6403
-85.5986,0.0130
-58.9182,0.0867
-45.3529,0.0430
34.9922,0.0205
52.7425,0.1392
57.1811,0.0625
98.1975,0.1451
123.0681,0.2305
126.1054,0.6678
169.1639,0.8120
187.0247,0.3705
203.4407,0.9541
217.0115,1.6613
245.5797,0.5723
268.5806,0.1111
284.6814,0.1019
290.1155,1.3335
309.5484,0.9373
318.9956,3.3837
329.1564,1.2830
345.8624,2.1555
384.5994,0.6637
401.4863,3.5208
418.0906,1.9100
434.2329,2.1295
438.1846,0.8350
469.3080,0.6496
483.8341,3.9317
523.9956,4.3192
525.6541,4.1833
556.5387,2.8951
570.5120,2.3913
584.9341,0.8321
591.2008,2.5929
609.7125,0.5872
623.7645,1.1334
628.2856,0.7062
649.6592,0.3622
664.9054,2.1697
677.9253,1.4284
702.4073,0.7008
741.6992,1.6088
842.2871,4.1088
890.4052,3.5340
915.6674,2.4024
928.4170,0.7460
958.2314,1.3969
976.3100,2.7006
978.1774,1.5017
998.9795,2.9052
1017.3996,1.9812
1023.0170,1.4313
1025.3602,2.0449
1032.9955,0.5417
1042.0473,4.9868
1072.6878,14.2436
1076.2766,3.1353
1084.0579,0.6455
1087.3093,2.5608
1092.9606,9.5237
1098.0670,11.0281
1110.0955,9.0063
1127.3596,7.3199
1132.4581,2.4166
1136.9918,2.0131
1150.2659,4.0996
1154.7365,1.4226
1161.3440,1.3096
1168.7758,3.0787
1184.2613,1.1892
1190.8406,2.7367
1206.0664,1.0148
1208.7474,2.2245
1229.4204,0.7934
1242.5136,1.4929
1250.6198,3.7663
1265.8571,3.1248
1269.6977,1.7156
1279.6345,4.6033
1291.1207,0.8698
1299.1481,9.0437
1302.0502,1.6468
1311.5788,2.1123
1322.1493,6.4867
1323.9274,7.3219
1336.5154,1.7414
1342.4978,9.8232
1348.8323,0.3684
1358.1464,4.6898
1365.6861,4.6227
1370.8413,7.7525
1373.7622,2.2516
1382.7463,3.4280
1383.0641,4.9084
1398.9273,2.6357
1402.5318,5.0042
1457.9593,2.6138
1463.0120,3.8728
1472.1153,2.1084
1476.0405,4.5438
1477.8426,2.0821
1528.5089,3.0832
1552.3073,0.3441
3255.7788,77.7152
3266.3544,90.1522
3283.0898,57.2900
3286.3991,38.2408
3290.6827,62.1919
3293.2713,26.1473
3295.9397,119.8021
3300.1910,181.1888
3302.4673,64.7767
3309.9339,18.9903
3310.6929,86.3925
3314.2965,30.8238
3319.3646,31.7854
3323.1276,46.4679
3325.7532,66.1289
3384.8780,131.8663
3390.2591,163.9155
3392.4276,42.9470
3394.0717,194.5179
3396.4552,83.7094
3910.2007,104.8965
3916.7839,149.3885
