Frequency,Intensity
-430.2988,220.5634
-414.3184,59.0749
-193.5548,412.1241
-85.7712,349.0408
44.2314,32.7778
67.1930,8.5160
82.8862,41.5890
97.7729,31.7831
114.1824,35.2600
133.1286,79.3568
150.1927,6.1315
162.6535,19.4397
179.0067,19.2161
190.3679,32.3081
208.1297,14.1834
222.5695,113.8307
240.3012,43.5470
269.0438,56.0632
281.2843,108.4463
285.6785,37.9042
304.7384,11.9431
309.5810,58.4225
313.3724,117.8847
319.0171,95.1464
340.4346,75.8448
354.3778,27.5287
361.7880,72.2803
408.1763,56.6566
418.2662,145.9651
439.5283,34.1774
459.3247,116.6351
475.6916,245.2006
493.7348,119.8908
507.4071,260.3681
529.5090,12.5723
543.8222,31.5747
554.4790,115.2884
602.4524,63.0232
606.3746,58.7658
624.1278,19.4847
659.8103,36.8902
670.8784,52.7965
687.1656,53.5555
699.2912,273.9542
713.8353,17.3659
734.4723,40.8346
769.5408,57.5890
777.2416,25.3853
788.3813,205.4113
804.6084,6.8693
828.1173,61.4947
833.0486,76.9810
855.4327,22.6623
872.9745,179.8316
878.9540,55.1244
882.9960,14.3177
907.5930,12.2581
929.9578,29.4751
946.6255,565.8785
958.2516,24.0494
981.1047,6.9558
1003.4404,87.9311
1004.3180,191.3190
1029.5305,45.5950
1044.6260,181.2302
1049.8692,44.8923
1056.7521,15.6449
1072.3968,126.1627
1083.0037,35.5637
1100.9376,94.1976
1114.6258,133.0694
1207.9783,25.9733
1226.5196,118.3232
1285.9189,41.9941
1320.7222,102.3239
1327.1591,14.4841
1338.1454,84.7678
1438.9603,41.2968
1499.5828,51.2378
3320.7599,7.1099
3368.0332,866.4797
3391.5540,259.1854
3392.4885,184.3510
3399.7501,256.4723
3412.3061,248.8815
3903.0543,645.7604
3922.0424,486.3272
