Frequency,Intensity
-947.5029,831.2464
-376.1613,321.6903
89.9326,111.9640
93.1838,358.4848
94.0184,86.4512
126.6637,1210.4857
133.0972,1164.4383
142.3435,536.8484
171.8529,157.7292
173.4065,96.0316
193.8639,887.3260
201.8621,791.7616
213.5796,302.3359
246.9924,113.8326
249.1444,8486.1851
273.2760,553.5098
300.0149,757.1972
303.7007,302.1119
319.3840,562.7609
324.3869,1059.4473
334.3936,291.2479
337.3365,651.1404
357.6813,618.6122
394.0645,1462.2488
411.5524,469.2433
437.7640,2230.2629
461.9873,2322.3958
482.4977,2517.2732
495.8035,8487.5968
511.3434,3208.9352
528.3300,51875.3827
542.7660,3195.9204
559.4807,40133.9490
590.5510,3868.2800
595.7458,7241.4726
599.0329,3020.3407
634.3377,38189.7421
650.3284,895.9545
660.4990,2573.7866
681.3427,12291.1463
686.8969,23594.9756
707.4892,6522.8372
720.0994,15196.2850
726.4160,39984.7504
752.1895,895.8064
778.7963,75624.0357
786.0752,28908.4207
807.9067,6466.4001
813.9087,2399.3169
836.0038,9588.9339
839.0016,951.2990
857.2963,1962.9309
860.8570,770.8730
873.2944,2581.5082
901.2114,18054.9037
918.5623,2063.0166
943.7759,1048.0245
963.1103,6729.4905
975.9584,5923.6195
1010.9004,25166.8237
1014.6189,106036.1243
1039.5139,500.1122
1057.0227,26877.0969
1070.0406,27604.3724
1092.7175,20820.2534
1130.6476,3013.3845
1200.5692,213.6723
1227.2401,534.2279
1282.1319,73074.4182
1337.1624,18990.6249
1388.8684,207.2620
1400.3753,23525.1637
1453.3764,891.8931
3313.0404,12868.7695
3361.3143,199.0202
3362.3753,2463.4393
3363.8169,174.8129
3368.4944,5297.7379
3374.3766,2322.1753
3877.8518,1371.7903
