Frequency(cm^-1),Intensity
-327.6096,0.1119
-303.9580,1.6574
-280.0746,1.1989
-188.4255,0.0647
-98.8446,0.0290
-93.1579,0.0408
-69.2601,0.0760
-19.2367,0.0878
20.6263,0.0413
70.2274,0.0831
93.9695,0.1634
114.0273,0.3031
128.4947,0.0541
154.8267,2.3331
162.6580,0.6289
185.8206,1.3404
203.1428,0.6137
251.0311,0.2753
260.5226,0.6015
272.9186,1.0605
287.8147,0.3954
296.6546,0.6785
324.8809,1.1657
343.2970,2.2684
352.0230,4.6121
368.0401,1.8763
391.0803,1.8186
416.3357,0.3048
422.2725,3.9933
446.1556,1.2774
468.2683,4.7990
485.4734,1.0000
510.4742,1.8488
519.5382,3.8528
565.0417,1.8190
582.7289,1.3124
598.7729,2.9820
607.6530,1.0820
617.0630,0.5754
627.0295,0.3454
629.2095,2.0394
648.8345,1.7721
659.3404,1.7097
678.6148,0.5212
695.6533,0.6340
716.7056,2.5026
770.8824,2.1984
838.1670,1.7329
869.9966,6.0284
920.3727,3.9446
947.9652,1.2123
976.4779,3.5774
979.6756,2.0171
986.5934,1.7904
1011.0686,2.3855
1015.9283,3.8576
1021.0159,5.5948
1035.0492,2.9665
1038.2800,4.8190
1059.8089,3.6372
1065.8265,1.5716
1074.6384,8.6601
1081.0821,2.2164
1085.5647,19.6074
1090.5886,19.5893
1098.9233,3.0281
1106.7085,3.6784
1122.6747,1.4853
1131.9604,1.4762
1139.2198,4.1790
1147.7255,7.5634
1156.4173,1.4548
1167.2906,1.5493
1185.9193,0.6769
1192.6307,1.2388
1198.1809,2.5562
1207.1966,1.0624
1217.2085,2.5617
1217.9261,2.5033
1240.5845,2.2002
1246.7653,2.4857
1266.8742,2.7654
1271.0328,1.5766
1276.3724,3.6354
1284.7459,3.1781
1298.7291,10.8731
1305.5126,2.9315
1309.2783,7.2211
1314.2103,2.7804
1330.8864,3.7522
1337.0328,3.4514
1348.3608,3.1870
1355.4446,1.4562
1362.8540,1.1125
1368.9118,10.4319
1375.0369,5.8761
1387.4568,1.5081
1399.1117,2.9104
1401.2623,0.9137
1414.8411,7.3958
1415.4481,5.8407
1423.7551,3.0320
1445.3606,4.6928
1469.6900,5.5094
1470.0159,3.9099
1473.7567,1.5496
1482.6675,1.6666
3253.3986,45.7002
3261.6113,76.5606
3266.8834,55.1617
3281.6202,40.5365
3288.1553,87.4359
3293.7577,99.8752
3296.4996,34.1900
3304.1246,43.6365
3305.9119,57.9962
3308.9575,126.5416
3316.4926,27.3611
3322.7138,50.0852
3327.4674,18.6258
3339.2678,178.5226
3344.2775,31.8355
3380.9281,82.8960
3381.6094,151.3416
3387.6642,166.5970
3389.8411,104.2041
3390.6423,156.3526
3907.1312,122.1449
3918.9560,125.6319
