Frequency,Intensity
76.2843,0.1651
98.9212,0.0692
123.8721,0.2594
151.7846,0.0448
188.5584,0.3231
210.8062,0.4382
240.5234,0.2761
252.2252,1.0819
280.5198,0.8397
291.5835,0.5119
307.5794,0.638
332.3859,0.6329
374.9527,6.5709
387.2999,1.5518
425.8521,2.9513
442.9243,0.5897
470.6676,2.4527
497.5786,1.9539
526.3726,6.8933
552.7037,11.2797
609.1684,2.8893
723.0995,10.1847
791.5315,23.9099
830.7643,1.773
876.1848,6.3
909.3121,1.3806
988.3672,9.8108
1021.335,11.2886
1031.1202,8.9249
1041.8591,3.4844
1056.0495,2.408
1068.618,9.3044
1082.3843,18.7492
1096.4764,16.9479
1106.0878,15.9383
1188.1181,4.1551
1199.3401,7.8453
1202.7768,7.5734
1215.4548,10.832
1268.7574,9.6253
1322.0389,6.4009
1327.8634,8.9703
1346.2965,12.928
1351.7961,20.2614
1361.2623,9.2842
1377.7318,7.061
1381.8448,5.3916
1394.2012,5.5035
1410.2205,9.2684
1419.5037,7.2451
1436.9705,3.141
1445.0325,5.0312
1454.2051,8.1913
1486.1708,10.2255
3036.4137,242.8156
3039.6602,313.9952
3042.5212,205.7358
3048.5055,637.8391
3080.7167,162.5155
3092.3976,465.38
3138.634,143.8728
3686.4008,169.0424
3715.9546,128.5162
3778.7561,189.1039
3783.7665,149.011
3785.6272,207.2311
