Frequency,Intensity
-33.3851,0.0796
36.2459,0.0355
99.0728,0.1425
120.3948,0.1185
201.1042,0.3373
243.9760,0.6966
260.7028,0.4314
277.3975,0.2989
307.2029,1.9910
338.0447,0.4067
344.9118,4.0024
357.0225,2.2747
390.0049,5.0180
404.5854,6.3471
426.1675,2.2390
440.5819,1.3079
505.2539,3.1829
538.3491,8.8551
540.6015,4.8358
600.9251,4.1490
615.5212,2.8228
664.6635,2.8717
755.5933,2.5241
843.6264,14.5500
882.9051,9.9822
975.8697,3.4878
1013.8183,1.7702
1024.8467,2.7585
1035.9535,3.1399
1063.5953,8.0247
1085.7892,13.8097
1091.4736,15.8654
1098.0267,18.9175
1133.2459,9.0798
1145.3792,9.3569
1192.5736,7.1131
1215.7045,8.4012
1247.8201,2.3173
1262.2480,3.6574
1280.4168,12.5853
1305.8685,12.7583
1321.1388,7.8833
1345.9280,4.7554
1357.8931,11.7891
1370.1091,7.0333
1385.1011,4.1833
1386.9439,2.7137
1399.1770,28.1060
1416.3712,9.8333
1436.4345,17.7048
1442.0054,3.5043
1450.7502,9.1543
1465.9100,5.7174
1494.3700,15.1639
3025.1030,736.4767
3031.4655,106.6027
3039.8972,232.6741
3047.2834,193.9229
3067.6201,155.6277
3088.4938,378.9314
3115.0701,187.9088
3700.8213,124.9487
3706.5116,77.8032
3707.6122,101.4790
3723.8125,159.1009
3727.2122,256.0994
