Frequency,Intensity
67.7528,0.0186
94.7894,0.1316
106.1651,0.1876
148.6821,0.0576
195.6372,0.1794
236.5188,0.1209
262.4441,2.1052
274.0536,1.1517
282.2346,1.4651
300.0062,0.3281
314.1042,1.7304
316.5388,0.2572
329.8064,0.7966
352.3468,3.0694
365.1566,2.7276
395.9094,2.8069
416.1864,8.3873
439.6019,12.9652
485.9212,11.6291
569.7264,4.9869
595.6737,1.2573
631.9644,0.9770
639.6766,0.1660
885.0937,6.2348
975.5852,1.8872
991.4137,5.3206
1020.0887,2.7142
1029.5515,2.3180
1035.3077,18.1972
1066.5513,5.9989
1069.7544,10.7233
1092.2729,8.0816
1094.3994,12.0821
1120.3247,21.9243
1132.5829,12.2647
1187.1902,4.5642
1206.9365,3.0310
1214.7353,8.0517
1240.9195,9.3422
1255.1667,1.1756
1257.7630,5.9198
1307.4656,9.9888
1330.4111,7.8573
1361.9952,3.6988
1374.6120,23.6982
1377.2727,4.6083
1383.7063,6.7624
1389.9382,5.4712
1405.2045,17.6123
1413.2251,14.3062
1419.3007,5.9374
1424.0362,9.2373
1445.7907,6.6875
1473.8398,15.6553
2982.2185,238.3697
2993.1456,559.6979
3027.6597,222.4902
3029.0195,419.9719
3063.6019,63.7837
3072.2614,326.2059
3128.4399,198.6587
3758.0248,130.7850
3760.3237,45.1535
3761.0848,303.8933
3779.3245,178.9337
3788.8366,130.1353
