Frequency,Intensity
9.8142,0.0348
80.1245,0.0716
98.9753,0.1537
149.5448,0.0451
208.4320,0.2389
258.0934,0.1673
266.9074,0.8538
288.3223,1.0756
313.7830,0.5117
338.8738,3.4635
379.4728,1.6989
384.3754,0.5552
388.1733,2.3843
401.3607,0.4927
422.6220,10.9917
424.1023,3.6152
452.7934,11.3462
467.1035,1.9709
491.3066,8.4499
572.9163,4.1041
606.1029,2.9637
640.1835,0.7251
647.6258,0.2396
887.1158,5.7373
972.1144,5.7024
993.7970,5.1472
1010.7509,8.4280
1027.8832,2.6982
1041.8754,6.5000
1072.9495,9.0750
1079.7697,7.0181
1098.4376,13.6356
1103.3888,3.6793
1123.6835,25.8427
1137.5512,12.8947
1181.6731,13.0229
1205.4969,3.1772
1218.0867,6.7548
1245.8320,10.8003
1248.5311,3.4558
1270.3366,5.2113
1314.1115,9.5476
1331.2312,13.3842
1354.8506,5.3175
1363.6102,5.6229
1381.2155,9.1372
1382.2241,17.1381
1390.9511,5.3219
1406.3099,13.6994
1416.2601,7.1382
1418.6423,11.3034
1430.0838,5.1919
1432.7677,4.5511
1489.2141,16.0542
3015.7052,407.7125
3037.2440,452.1802
3046.3559,225.2243
3055.0065,422.3665
3062.4519,184.9890
3070.1791,73.3156
3115.7073,188.0543
3697.0321,155.0142
3697.9954,161.6525
3698.7095,102.4222
3698.9446,187.5909
3719.1380,163.0585
