,,B-Baseline
23.2408,40.0606,-27.308716753369957
25.1249,42.8283,-24.54101675336996
27.0086,47.0707,-20.298616753369956
28.8919,51.1313,-16.238016753369955
30.7748,55.6162,-11.753116753369959
32.6573,59.1515,-8.21781675336996
34.5395,60.1616,-7.207716753369958
36.4213,62.5657,-4.803616753369958
38.3005,66.303,-1.0663167533699607
40.1816,71.3334,3.9640832466300395
42.0622,80.1212,12.751883246630044
43.9425,95.0303,27.66098324663004
45.8203,114.444,47.074683246630045
47.6998,134.323,66.95368324663005
49.5768,147.657,80.28768324663005
51.4556,153.758,86.38868324663005
53.3318,156.849,89.47968324663003
55.2098,161.939,94.56968324663004
57.0853,164.646,97.27668324663003
58.9605,158.788,91.41868324663005
60.8374,151.778,84.40868324663003
62.7117,153.111,85.74168324663003
64.5857,157.677,90.30768324663003
66.4594,163.657,96.28768324663005
68.3326,168.121,100.75168324663005
70.2055,178.949,111.57968324663005
72.078,197.535,130.16568324663004
73.9501,209.091,141.72168324663005
75.8219,206.323,138.95368324663005
77.6911,185.859,118.48968324663005
79.5621,167.071,99.70168324663004
81.4327,160.202,92.83268324663004
83.3009,162.162,94.79268324663005
85.1707,163.333,95.96368324663004
87.0403,164.828,97.45868324663005
88.9072,169.798,102.42868324663004
90.7739,173.939,106.56968324663004
92.6423,178.808,111.43868324663003
94.5081,184.606,117.23668324663004
96.3737,189.394,122.02468324663005
98.2409,188.545,121.17568324663003
100.106,177.717,110.34768324663006
101.97,163.717,96.34768324663006
103.834,156.768,89.39868324663004
105.698,152.0,84.63068324663004
107.561,150.505,83.13568324663004
109.424,144.283,76.91368324663003
111.286,142.849,75.47968324663003
113.149,142.404,75.03468324663004
115.008,144.525,77.15568324663005
116.87,146.101,78.73168324663004
118.731,147.192,79.82268324663005
120.591,146.141,78.77168324663003
122.45,144.101,76.73168324663004
124.31,136.141,68.77168324663003
126.167,126.99,59.62068324663004
128.024,120.424,53.05468324663005
129.883,117.576,50.206683246630035
131.739,116.101,48.73168324663004
133.595,114.02,46.65068324663004
135.453,114.97,47.60068324663004
137.308,116.02,48.65068324663004
139.163,117.495,50.12568324663005
141.018,118.283,50.91368324663004
142.872,120.222,52.852683246630036
144.725,128.869,61.49968324663004
146.579,139.515,72.14568324663003
148.432,149.293,81.92368324663005
150.282,161.414,94.04468324663003
152.135,169.899,102.52968324663004
153.986,171.899,104.52968324663004
155.838,176.929,109.55968324663004
157.687,180.97,113.60068324663004
159.538,185.071,117.70168324663004
161.386,191.131,123.76168324663004
163.236,188.525,121.15568324663005
165.084,182.525,115.15568324663005
166.931,174.061,106.69168324663005
168.78,165.495,98.12568324663005
170.627,165.374,98.00468324663004
172.473,166.99,99.62068324663005
174.318,173.919,106.54968324663005
176.164,185.919,118.54968324663005
178.009,195.475,128.10568324663004
179.854,200.263,132.89368324663005
181.698,196.364,128.99468324663005
183.542,186.99,119.62068324663005
185.385,173.697,106.32768324663004
187.226,166.667,99.29768324663004
189.069,156.566,89.19668324663004
190.912,149.131,81.76168324663004
192.752,145.434,78.06468324663004
194.593,142.727,75.35768324663005
196.433,140.606,73.23668324663004
198.274,139.293,71.92368324663005
200.112,142.263,74.89368324663005
201.95,149.192,81.82268324663005
203.79,154.101,86.73168324663004
205.628,161.293,93.92368324663005
207.465,165.212,97.84268324663003
209.302,172.909,105.53968324663003
211.138,179.576,112.20668324663004
212.974,185.717,118.34768324663006
214.81,185.899,118.52968324663004
216.645,187.232,119.86268324663004
218.48,181.091,113.72168324663005
