,,A-Baseline,B-Baseline
23.2408,45.1111,23.2408,-22.258216753369958
25.1249,45.9394,25.1249,-21.42991675336996
27.0086,48.2424,27.0086,-19.126916753369954
28.8919,54.7677,28.8919,-12.60161675336996
30.7748,59.6364,30.7748,-7.732916753369956
32.6573,65.1919,32.6573,-2.177416753369954
34.5395,67.6566,34.5395,0.28728324663003946
36.4213,71.5556,36.4213,4.18628324663004
38.3005,74.0808,38.3005,6.7114832466300385
40.1816,80.6061,40.1816,13.23678324663004
42.0622,92.3434,42.0622,24.974083246630045
43.9425,109.697,43.9425,42.327683246630045
45.8203,133.556,45.8203,66.18668324663005
47.6998,151.838,47.6998,84.46868324663004
49.5768,161.919,49.5768,94.54968324663005
51.4556,168.485,51.4556,101.11568324663006
53.3318,173.01,53.3318,105.64068324663003
55.2098,173.737,55.2098,106.36768324663004
57.0853,174.949,57.0853,107.57968324663005
58.9605,176.485,58.9605,109.11568324663006
60.8374,179.737,60.8374,112.36768324663004
62.7117,182.566,62.7117,115.19668324663004
64.5857,181.838,64.5857,114.46868324663004
66.4594,182.303,66.4594,114.93368324663004
68.3326,185.172,68.3326,117.80268324663004
70.2055,191.455,70.2055,124.08568324663005
72.078,190.485,72.078,123.11568324663006
73.9501,190.808,73.9501,123.43868324663003
75.8219,185.798,75.8219,118.42868324663004
77.6911,179.798,77.6911,112.42868324663004
79.5621,172.707,79.5621,105.33768324663004
81.4327,166.404,81.4327,99.03468324663004
83.3009,170.424,83.3009,103.05468324663005
85.1707,176.162,85.1707,108.79268324663005
87.0403,177.778,87.0403,110.40868324663003
88.9072,178.04,88.9072,110.67068324663003
90.7739,184.141,90.7739,116.77168324663003
92.6423,188.263,92.6423,120.89368324663005
94.5081,192.222,94.5081,124.85268324663005
96.3737,191.717,96.3737,124.34768324663006
98.2409,187.616,98.2409,120.24668324663006
100.106,179.879,100.106,112.50968324663003
101.97,175.414,101.97,108.04468324663003
103.834,168.081,103.834,100.71168324663003
105.698,160.869,105.698,93.49968324663004
107.561,157.919,107.561,90.54968324663005
109.424,156.848,109.424,89.47868324663006
111.286,151.798,111.286,84.42868324663004
113.149,153.818,113.149,86.44868324663005
115.008,154.02,115.008,86.65068324663005
116.87,159.152,116.87,91.78268324663003
118.731,159.071,118.731,91.70168324663004
120.591,157.01,120.591,89.64068324663003
122.45,151.677,122.45,84.30768324663003
124.31,146.424,124.31,79.05468324663005
126.167,140.061,126.167,72.69168324663005
128.024,130.242,128.024,62.87268324663003
129.883,124.949,129.883,57.57968324663004
131.739,124.04,131.739,56.67068324663005
133.595,119.838,133.595,52.468683246630036
135.453,122.747,135.453,55.37768324663004
137.308,123.616,137.308,56.24668324663004
139.163,123.98,139.163,56.610683246630046
141.018,128.121,141.018,60.75168324663005
142.872,135.172,142.872,67.80268324663004
144.725,146.081,144.725,78.71168324663003
146.579,157.232,146.579,89.86268324663004
148.432,171.071,148.432,103.70168324663004
150.282,184.889,150.282,117.51968324663005
152.135,198.02,152.135,130.65068324663005
153.986,208.667,153.986,141.29768324663004
155.838,220.869,155.838,153.49968324663004
157.687,231.293,157.687,163.92368324663005
159.538,238.081,159.538,170.71168324663003
161.386,241.919,161.386,174.54968324663005
163.236,239.677,163.236,172.30768324663003
165.084,231.071,165.084,163.70168324663004
166.931,217.838,166.931,150.46868324663004
168.78,210.323,168.78,142.95368324663005
170.627,203.636,170.627,136.26668324663004
172.473,204.97,172.473,137.60068324663004
174.318,209.798,174.318,142.42868324663004
176.164,219.556,176.164,152.18668324663005
178.009,224.384,178.009,157.01468324663003
179.854,224.101,179.854,156.73168324663004
181.698,221.697,181.698,154.32768324663004
183.542,217.434,183.542,150.06468324663004
185.385,207.111,185.385,139.74168324663003
187.226,201.475,187.226,134.10568324663004
189.069,192.485,189.069,125.11568324663006
190.912,188.949,190.912,121.57968324663005
192.752,182.343,192.752,114.97368324663003
194.593,179.394,194.593,112.02468324663005
196.433,179.071,196.433,111.70168324663004
198.274,178.424,198.274,111.05468324663005
200.112,181.616,200.112,114.24668324663006
201.95,185.495,201.95,118.12568324663005
203.79,189.273,203.79,121.90368324663004
205.628,191.556,205.628,124.18668324663005
207.465,194.444,207.465,127.07468324663003
209.302,196.99,209.302,129.62068324663005
211.138,201.434,211.138,134.06468324663004
212.974,204.707,212.974,137.33768324663004
214.81,206.303,214.81,138.93368324663004
216.645,203.899,216.645,136.52968324663004
218.48,192.808,218.48,125.43868324663003
220.314,184.586,220.314,117.21668324663005
222.146,170.04,222.146,102.67068324663003
223.98,160.748,223.98,93.37868324663003
225.814,150.747,225.814,83.37768324663006
227.645,147.798,227.645,80.42868324663004
229.477,147.939,229.477,80.56968324663004
231.308,151.333,231.308,83.96368324663004
233.14,155.98,233.14,88.61068324663003
234.969,162.949,234.969,95.57968324663005
236.798,168.343,236.798,100.97368324663003
238.627,173.616,238.627,106.24668324663006
240.458,174.99,240.458,107.62068324663005
242.286,170.465,242.286,103.09568324663005
244.114,163.919,244.114,96.54968324663005
245.941,154.869,245.941,87.49968324663004
247.768,148.263,247.768,80.89368324663005
249.595,141.434,249.595,74.06468324663004
251.421,136.081,251.421,68.71168324663003
253.245,131.556,253.245,64.18668324663005
255.07,128.141,255.07,60.77168324663003
256.896,126.788,256.896,59.41868324663004
258.718,124.848,258.718,57.47868324663004
260.543,123.96,260.543,56.590683246630036
262.367,120.808,262.367,53.43868324663005
264.189,116.0,264.189,48.63068324663004
266.01,115.899,266.01,48.52968324663004
267.833,114.384,267.833,47.01468324663004
269.654,114.707,269.654,47.337683246630036
271.474,114.444,271.474,47.074683246630045
273.296,116.747,273.296,49.37768324663004
275.116,120.141,275.116,52.77168324663005
276.935,125.293,276.935,57.92368324663005
278.754,129.212,278.754,61.84268324663003
280.572,135.859,280.572,68.48968324663005
282.39,145.051,282.39,77.68168324663003
284.208,153.394,284.208,86.02468324663005
286.023,160.081,286.023,92.71168324663003
287.84,165.111,287.84,97.74168324663003
289.657,175.758,289.657,108.38868324663005
291.471,185.798,291.471,118.42868324663004
293.287,197.192,293.287,129.82268324663005
295.103,211.737,295.103,144.36768324663004
296.916,216.444,296.916,149.07468324663003
298.729,214.0,298.729,146.63068324663004
300.543,207.515,300.543,140.14568324663003
302.355,194.667,302.355,127.29768324663004
304.167,188.99,304.167,121.62068324663005
305.979,188.99,305.979,121.62068324663005
307.792,190.525,307.792,123.15568324663005
309.602,190.848,309.602,123.47868324663006
311.413,190.202,311.413,122.83268324663004
313.223,189.071,313.223,121.70168324663004
315.032,183.798,315.032,116.42868324663004
316.84,178.162,316.84,110.79268324663005
318.648,179.899,318.648,112.52968324663004
320.457,183.071,320.457,115.70168324663004
322.265,191.01,322.265,123.64068324663003
324.071,203.737,324.071,136.36768324663004
325.878,223.616,325.878,156.24668324663006
327.684,242.505,327.684,175.13568324663004
329.49,267.232,329.49,199.86268324663007
331.295,290.04,331.295,222.67068324663006
333.099,317.111,333.099,249.74168324663003
334.904,350.101,334.904,282.73168324663004
336.708,391.253,336.708,323.88368324663
338.511,436.424,338.511,369.05468324663
340.313,479.293,340.313,411.92368324663005
342.116,506.364,342.116,438.99468324663
343.917,505.475,343.917,438.10568324663006
345.719,480.0,345.719,412.63068324663004
347.52,436.586,347.52,369.21668324663005
349.321,387.535,349.321,320.16568324663007
351.121,352.04,351.121,284.67068324663006
352.92,329.152,352.92,261.78268324663003
354.719,324.162,354.719,256.79268324663
356.519,345.596,356.519,278.22668324663005
358.316,383.576,358.316,316.20668324663006
360.115,435.576,360.115,368.20668324663006
361.911,495.152,361.911,427.78268324663003
363.707,527.778,363.707,460.40868324663006
365.504,532.182,365.504,464.81268324663006
367.3,498.081,367.3,430.71168324663006
369.095,442.02,369.095,374.65068324663
370.889,372.303,370.889,304.93368324663004
372.683,310.626,372.683,243.25668324663002
374.477,264.667,374.477,197.29768324663002
376.271,232.283,376.271,164.91368324663003
378.064,213.758,378.064,146.38868324663005
379.857,197.636,379.857,130.26668324663004
381.649,186.202,381.649,118.83268324663004
383.439,176.242,383.439,108.87268324663003
385.231,169.656,385.231,102.28668324663005
387.022,163.919,387.022,96.54968324663005
388.811,159.576,388.811,92.20668324663004
390.602,156.384,390.602,89.01468324663003
392.39,155.05,392.39,87.68068324663005
394.178,154.303,394.178,86.93368324663004
395.968,156.687,395.968,89.31768324663005
397.755,163.01,397.755,95.64068324663003
399.542,169.172,399.542,101.80268324663004
401.329,179.939,401.329,112.56968324663004
403.115,189.697,403.115,122.32768324663004
404.901,207.98,404.901,140.61068324663003
406.686,222.586,406.686,155.21668324663005
408.472,236.848,408.472,169.47868324663006
410.256,260.444,410.256,193.07468324663006
412.041,288.364,412.041,220.99468324663002
413.823,324.525,413.823,257.15568324663
415.607,373.232,415.607,305.86268324663007
417.39,423.515,417.39,356.14568324663
419.171,452.768,419.171,385.39868324663
420.954,459.475,420.954,392.10568324663006
422.734,444.424,422.734,377.05468324663
424.514,409.192,424.514,341.82268324663005
426.296,379.293,426.296,311.92368324663005
428.075,365.091,428.075,297.72168324663005
429.854,381.495,429.854,314.12568324663005
431.633,425.98,431.633,358.61068324663006
433.411,473.111,433.411,405.74168324663003
435.189,509.757,435.189,442.38768324663005
436.967,509.919,436.967,442.54968324663
438.744,474.95,438.744,407.58068324663003
440.521,416.808,440.521,349.43868324663003
442.295,357.535,442.295,290.16568324663007
444.072,300.323,444.072,232.95368324663002
445.848,257.192,445.848,189.82268324663005
447.621,225.899,447.621,158.52968324663004
449.396,207.737,449.396,140.36768324663004
451.169,197.737,451.169,130.36768324663004
452.944,193.96,452.944,126.59068324663005
454.716,196.02,454.716,128.65068324663005
456.487,205.576,456.487,138.20668324663004
458.259,221.071,458.259,153.70168324663004
460.03,244.929,460.03,177.55968324663004
461.803,274.97,461.803,207.60068324663007
463.573,307.98,463.573,240.61068324663006
465.343,328.566,465.343,261.19668324663
467.111,331.152,467.111,263.78268324663003
468.88,324.626,468.88,257.25668324663
470.649,297.758,470.649,230.38868324663002
472.418,270.121,472.418,202.75168324663002
474.184,247.01,474.184,179.64068324663003
475.952,236.303,475.952,168.93368324663004
477.718,230.929,477.718,163.55968324663004
479.485,230.646,479.485,163.27668324663003
481.25,229.212,481.25,161.84268324663003
483.017,229.677,483.017,162.30768324663003
484.781,227.354,484.781,159.98468324663006
486.545,225.677,486.545,158.30768324663003
488.308,222.667,488.308,155.29768324663004
490.072,214.404,490.072,147.03468324663004
491.835,206.465,491.835,139.09568324663005
493.597,191.354,493.597,123.98468324663006
495.359,176.505,495.359,109.13568324663004
497.121,162.424,497.121,95.05468324663005
498.883,149.98,498.883,82.61068324663003
500.644,140.505,500.644,73.13568324663004
502.403,132.828,502.403,65.45868324663005
504.163,125.98,504.163,58.610683246630046
505.921,119.838,505.921,52.468683246630036
507.681,117.535,507.681,50.16568324663004
509.439,115.939,509.439,48.569683246630035
511.198,111.01,511.198,43.64068324663005
512.955,111.455,512.955,44.08568324663004
514.711,107.636,514.711,40.26668324663004
516.467,108.424,516.467,41.05468324663005
518.223,104.667,518.223,37.297683246630044
519.978,104.101,519.978,36.73168324663004
521.733,103.596,521.733,36.226683246630046
523.488,102.626,523.488,35.25668324663005
525.243,101.717,525.243,34.34768324663004
526.997,101.778,526.997,34.40868324663005
528.75,103.515,528.75,36.14568324663004
530.502,102.444,530.502,35.074683246630045
532.255,103.879,532.255,36.50968324663005
534.006,104.424,534.006,37.05468324663005
535.758,104.768,535.758,37.39868324663004
537.508,106.646,537.508,39.27668324663004
539.26,109.152,539.26,41.78268324663004
541.009,110.848,541.009,43.47868324663004
542.758,110.101,542.758,42.73168324663004
544.507,112.101,544.507,44.73168324663004
546.255,114.909,546.255,47.53968324663005
548.003,117.616,548.003,50.24668324663004
549.751,124.061,549.751,56.69168324663005
551.498,127.778,551.498,60.40868324663005
553.245,135.596,553.245,68.22668324663005
554.992,140.646,554.992,73.27668324663003
556.738,151.333,556.738,83.96368324663004
558.482,159.636,558.482,92.26668324663004
560.228,172.828,560.228,105.45868324663005
561.971,185.434,561.971,118.06468324663004
563.716,199.152,563.716,131.78268324663003
565.459,212.0,565.459,144.63068324663004
567.201,226.323,567.201,158.95368324663005
568.945,241.636,568.945,174.26668324663004
570.687,260.445,570.687,193.07568324663004
572.428,285.576,572.428,218.20668324663006
574.169,307.778,574.169,240.40868324663006
575.91,324.566,575.91,257.19668324663
577.65,322.04,577.65,254.67068324663006
579.39,307.879,579.39,240.50968324663006
581.13,285.03,581.13,217.66068324663001
582.867,256.121,582.867,188.75168324663002
584.606,231.172,584.606,163.80268324663004
586.345,210.545,586.345,143.17568324663003
588.081,192.646,588.081,125.27668324663003
589.819,180.02,589.819,112.65068324663005
591.555,168.586,591.555,101.21668324663005
593.29,157.798,593.29,90.42868324663004
595.027,148.99,595.027,81.62068324663005
596.762,140.747,596.762,73.37768324663006
598.496,133.535,598.496,66.16568324663004
600.23,128.949,600.23,61.579683246630054
601.964,123.455,601.964,56.08568324663004
603.697,119.475,603.697,52.105683246630036
605.43,118.182,605.43,50.812683246630044
607.163,117.071,607.163,49.70168324663004
608.895,119.293,608.895,51.92368324663005
610.625,123.556,610.625,56.18668324663004
612.357,130.606,612.357,63.23668324663004
614.088,138.626,614.088,71.25668324663005
615.817,143.535,615.817,76.16568324663004
617.548,143.434,617.548,76.06468324663004
619.276,138.505,619.276,71.13568324663004
621.004,126.707,621.004,59.337683246630036
622.732,114.828,622.732,47.458683246630045
624.461,105.939,624.461,38.569683246630035
626.188,98.0202,626.188,30.650883246630045
627.915,94.0808,627.915,26.71148324663004
629.641,93.4141,629.641,26.044783246630047
631.367,90.9091,631.367,23.539783246630037
633.093,92.2828,633.093,24.913483246630037
634.817,94.2626,634.817,26.893283246630048
636.542,96.4445,636.542,29.075183246630047
638.266,99.7576,638.266,32.38828324663004
639.989,100.222,639.989,32.852683246630036
641.713,100.404,641.713,33.03468324663004
643.435,96.7475,643.435,29.378183246630044
645.158,94.8687,645.158,27.499383246630046
646.879,95.5152,646.879,28.145883246630035
648.6,91.7172,648.6,24.347883246630047
650.32,93.1515,650.32,25.78218324663004
652.04,95.5151,652.04,28.145783246630046
653.76,97.1919,653.76,29.822583246630046
655.48,100.869,655.48,33.49968324663004
657.199,104.303,657.199,36.93368324663004
658.917,105.475,658.917,38.105683246630036
660.636,106.768,660.636,39.39868324663004
662.354,104.182,662.354,36.812683246630044
664.07,100.283,664.07,32.91368324663004
665.787,95.6162,665.787,28.24688324663005
667.503,89.1919,667.503,21.822583246630046
669.219,85.3737,669.219,18.00438324663004
670.934,83.697,670.934,16.327683246630045
672.65,82.0808,672.65,14.711483246630038
674.364,80.5252,674.364,13.15588324663004
