		B-Baseline
23.2408	44.6465	-25.557576056534685
25.1249	45.6364	-24.567676056534687
27.0086	48.9495	-21.254576056534688
28.8919	54.2626	-15.94147605653469
30.7748	59.495	-10.709076056534691
32.6573	63.6162	-6.587876056534689
34.5395	69.7575	-0.44657605653469545
36.4213	72.3232	2.1191239434653113
38.3005	79.3939	9.189823943465314
40.1816	87.697	17.492923943465314
42.0622	103.899	33.69492394346531
43.9425	121.636	51.43192394346531
45.8203	137.01	66.8059239434653
47.6998	148.505	78.3009239434653
49.5768	157.273	87.06892394346531
51.4556	162.162	91.95792394346532
53.3318	161.212	91.0079239434653
55.2098	163.758	93.55392394346532
57.0853	171.333	101.12892394346531
58.9605	176.202	105.99792394346531
60.8374	180.404	110.19992394346531
62.7117	188.283	118.0789239434653
64.5857	191.596	121.39192394346532
66.4594	192.949	122.74492394346532
68.3326	196.263	126.05892394346532
70.2055	193.717	123.51292394346532
72.078	191.939	121.7349239434653
73.9501	190.343	120.1389239434653
75.8219	181.354	111.14992394346532
77.6911	177.758	107.55392394346532
79.5621	172.364	102.15992394346532
81.4327	173.111	102.9069239434653
83.3009	177.576	107.3719239434653
85.1707	182.828	112.62392394346531
87.0403	183.677	113.4729239434653
88.9072	187.879	117.6749239434653
90.7739	183.919	113.71492394346532
92.6423	186.525	116.32092394346532
94.5081	181.98	111.7759239434653
96.3737	178.364	108.15992394346532
98.2409	173.455	103.25092394346532
100.106	164.081	93.8769239434653
101.97	161.859	91.65492394346532
103.834	155.131	84.92692394346531
105.698	152.343	82.1389239434653
107.561	151.879	81.6749239434653
109.424	154.061	83.85692394346532
111.286	149.414	79.2099239434653
113.149	151.051	80.8469239434653
115.008	153.818	83.61392394346532
116.87	154.424	84.21992394346532
118.731	153.576	83.3719239434653
120.591	149.051	78.8469239434653
122.45	143.212	73.0079239434653
124.31	135.98	65.7759239434653
126.167	132.99	62.78592394346532
128.024	128.202	57.99792394346531
129.883	125.212	55.007923943465315
131.739	124.848	54.64392394346531
133.595	127.434	57.22992394346531
135.453	128.02	57.81592394346532
137.308	129.657	59.45292394346532
139.163	133.778	63.5739239434653
141.018	140.02	69.81592394346532
142.872	148.646	78.4419239434653
144.725	160.525	90.32092394346532
146.579	172.343	102.1389239434653
148.432	185.414	115.2099239434653
150.282	198.949	128.74492394346532
152.135	210.162	139.95792394346532
153.986	222.586	152.38192394346532
155.838	232.202	161.9979239434653
157.687	238.384	168.1799239434653
159.538	241.01	170.8059239434653
161.386	240.586	170.38192394346532
163.236	231.798	161.5939239434653
165.084	222.808	152.6039239434653
166.931	214.687	144.48292394346532
168.78	205.919	135.71492394346532
170.627	206.101	135.8969239434653
172.473	208.263	138.05892394346532
174.318	210.768	140.5639239434653
176.164	217.758	147.55392394346532
178.009	219.212	149.0079239434653
179.854	217.374	147.1699239434653
181.698	213.556	143.35192394346532
183.542	205.455	135.25092394346532
185.385	204.162	133.95792394346532
187.226	198.707	128.5029239434653
189.069	195.717	125.51292394346532
190.912	192.687	122.48292394346532
192.752	192.101	121.89692394346531
194.593	193.454	123.24992394346532
196.433	196.626	126.42192394346532
198.274	198.909	128.7049239434653
200.112	200.323	130.11892394346532
201.95	199.798	129.5939239434653
203.79	200.97	130.7659239434653
205.628	201.677	131.4729239434653
207.465	202.424	132.21992394346532
209.302	202.95	132.7459239434653
211.138	202.828	132.62392394346531
212.974	205.677	135.4729239434653
214.81	196.808	126.6039239434653
216.645	188.748	118.5439239434653
218.48	178.303	108.09892394346531
220.314	167.576	97.3719239434653
222.146	157.374	87.1699239434653
223.98	153.778	83.5739239434653
225.814	150.848	80.64392394346532
227.645	150.303	80.09892394346531
229.477	154.061	83.85692394346532
231.308	157.939	87.7349239434653
233.14	163.697	93.49292394346531
234.969	168.646	98.4419239434653
236.798	174.485	104.28092394346533
238.627	174.646	104.4419239434653
240.458	171.576	101.3719239434653
242.286	168.283	98.0789239434653
244.114	160.606	90.4019239434653
245.941	150.04	79.8359239434653
247.768	145.232	75.02792394346531
249.595	140.808	70.6039239434653
251.421	134.646	64.4419239434653
253.245	133.131	62.92692394346531
255.07	129.232	59.02792394346531
256.896	126.384	56.17992394346531
258.718	125.596	55.391923943465315
260.543	124.061	53.85692394346532
262.367	120.424	50.21992394346532
264.189	118.95	48.745923943465314
266.01	117.818	47.61392394346531
267.833	117.899	47.69492394346531
269.654	117.253	47.04892394346531
271.474	119.152	48.94792394346531
273.296	123.495	53.290923943465316
275.116	127.071	56.86692394346531
276.935	133.454	63.24992394346532
278.754	139.313	69.1089239434653
