		B-Baseline
23.2408	39.4141	-214.00720239108477
25.1249	42.9899	-210.43140239108476
27.0086	46.5252	-206.89610239108475
28.8919	50.4848	-202.93650239108476
30.7748	57.4141	-196.00720239108477
32.6573	61.6162	-191.80510239108477
34.5395	67.697	-185.72430239108476
36.4213	76.1212	-177.30010239108475
38.3005	84.9293	-168.49200239108478
40.1816	96.9293	-156.49200239108478
42.0622	107.03	-146.39130239108476
43.9425	119.414	-134.00730239108475
45.8203	130.0	-123.42130239108477
47.6998	136.646	-116.77530239108478
49.5768	144.99	-108.43130239108476
51.4556	153.172	-100.24930239108477
53.3318	160.606	-92.81530239108477
55.2098	169.333	-84.08830239108477
57.0853	182.101	-71.32030239108477
58.9605	190.707	-62.71430239108477
60.8374	202.889	-50.532302391084755
62.7117	215.232	-38.189302391084766
64.5857	228.182	-25.239302391084777
66.4594	239.758	-13.663302391084756
68.3326	242.99	-10.431302391084756
70.2055	247.071	-6.350302391084767
72.078	243.717	-9.704302391084752
73.9501	238.848	-14.573302391084752
75.8219	233.636	-19.78530239108477
77.6911	231.737	-21.68430239108477
79.5621	233.232	-20.189302391084766
81.4327	233.535	-19.88630239108477
83.3009	237.879	-15.542302391084775
85.1707	240.121	-13.300302391084756
87.0403	239.313	-14.108302391084777
88.9072	241.051	-12.370302391084778
90.7739	243.636	-9.78530239108477
92.6423	241.212	-12.209302391084776
94.5081	236.465	-16.956302391084762
96.3737	232.404	-21.01730239108477
98.2409	229.616	-23.80530239108475
100.106	226.929	-26.492302391084763
101.97	224.283	-29.13830239108478
103.834	225.152	-28.26930239108478
105.698	225.192	-28.229302391084758
107.561	224.485	-28.93630239108475
109.424	224.97	-28.451302391084766
111.286	226.465	-26.956302391084762
113.149	225.071	-28.350302391084767
115.008	227.212	-26.209302391084776
116.87	223.596	-29.82530239108476
118.731	221.98	-31.441302391084776
120.591	218.162	-35.25930239108476
122.45	217.697	-35.72430239108476
124.31	214.808	-38.61330239108477
126.167	213.838	-39.58330239108477
128.024	214.303	-39.11830239108477
129.883	213.394	-40.02730239108476
131.739	214.101	-39.320302391084766
133.595	215.838	-37.58330239108477
135.453	220.869	-32.552302391084766
137.308	223.131	-30.290302391084765
139.163	226.444	-26.977302391084777
141.018	229.737	-23.68430239108477
142.872	234.848	-18.573302391084752
144.725	241.374	-12.04730239108477
146.579	244.889	-8.532302391084755
148.432	248.525	-4.89630239108476
150.282	252.02	-1.401302391084755
152.135	256.121	2.6996976089152156
153.986	256.808	3.3866976089152274
155.838	259.03	5.608697608915207
157.687	256.081	2.659697608915252
159.538	256.606	3.1846976089152292
161.386	249.758	-3.6633023910847555
163.236	247.111	-6.310302391084775
165.084	245.98	-7.4413023910847755
166.931	242.303	-11.118302391084768
168.78	243.838	-9.583302391084771
170.627	245.495	-7.926302391084761
172.473	246.303	-7.118302391084768
174.318	249.212	-4.209302391084776
176.164	250.283	-3.1383023910847783
178.009	249.818	-3.6033023910847533
179.854	246.808	-6.613302391084773
181.698	245.535	-7.886302391084769
183.542	245.596	-7.825302391084762
185.385	242.687	-10.734302391084753
187.226	241.838	-11.583302391084771
189.069	242.222	-11.199302391084757
190.912	243.394	-10.02730239108476
192.752	241.879	-11.542302391084775
194.593	241.657	-11.764302391084755
196.433	242.465	-10.956302391084762
198.274	243.212	-10.209302391084776
200.112	247.859	-5.562302391084756
201.95	248.384	-5.037302391084779
203.79	249.172	-4.249302391084768
205.628	252.202	-1.2193023910847671
207.465	253.01	-0.4113023910847744
209.302	252.566	-0.8553023910847628
211.138	250.869	-2.5523023910847655
212.974	244.828	-8.593302391084762
214.81	239.899	-13.522302391084764
216.645	237.131	-16.290302391084765
218.48	235.414	-18.007302391084778
220.314	231.192	-22.229302391084758
222.146	232.141	-21.280302391084774
223.98	228.869	-24.552302391084766
225.814	232.141	-21.280302391084774
227.645	233.313	-20.108302391084777
229.477	236.04	-17.381302391084773
231.308	236.465	-16.956302391084762
233.14	237.475	-15.946302391084771
234.969	240.141	-13.280302391084774
236.798	240.404	-13.017302391084769
238.627	238.182	-15.239302391084777
240.458	236.364	-17.05730239108476
242.286	234.97	-18.451302391084766
244.114	234.162	-19.25930239108476
245.941	231.919	-21.502302391084754
247.768	231.414	-22.007302391084778
249.595	231.03	-22.391302391084764
251.421	229.616	-23.80530239108475
253.245	229.071	-24.350302391084767
255.07	229.515	-23.90630239108478
256.896	231.293	-22.12830239108476
258.718	229.616	-23.80530239108475
260.543	226.646	-26.77530239108478
262.367	227.273	-26.14830239108477
264.189	225.596	-27.82530239108476
266.01	229.293	-24.12830239108476
267.833	228.869	-24.552302391084766
269.654	230.283	-23.13830239108478
271.474	234.566	-18.855302391084763
273.296	239.152	-14.269302391084778
275.116	239.899	-13.522302391084764
276.935	244.586	-8.835302391084753
278.754	247.273	-6.148302391084769
280.572	250.929	-2.4923023910847633
282.39	251.657	-1.7643023910847546
284.208	255.151	1.7296976089152452
286.023	257.273	3.8516976089152593
287.84	254.828	1.4066976089152377
289.657	260.222	6.800697608915215
291.471	262.162	8.740697608915212
293.287	263.677	10.255697608915256
295.103	262.242	8.820697608915253
296.916	263.172	9.75069760891526
298.729	261.778	8.356697608915255
300.543	262.727	9.30569760891521
302.355	260.182	6.760697608915251
304.167	261.596	8.174697608915238
305.979	262.465	9.04369760891521
307.792	259.01	5.588697608915226
309.602	259.475	6.053697608915257
311.413	258.97	5.548697608915262
313.223	258.465	5.04369760891521
315.032	261.717	8.29569760891522
316.84	260.848	7.426697608915248
318.648	266.263	12.841697608915212
320.457	269.434	16.01269760891526
322.265	274.364	20.94269760891521
324.071	282.788	29.366697608915246
325.878	290.0	36.578697608915235
327.684	300.323	46.901697608915214
329.49	307.293	53.87169760891524
331.295	320.141	66.71969760891525
333.099	333.859	80.43769760891522
334.904	344.97	91.54869760891526
336.708	357.899	104.47769760891524
338.511	363.273	109.85169760891526
340.313	359.333	105.91169760891526
342.116	354.667	101.24569760891521
343.917	345.576	92.15469760891526
345.719	331.596	78.17469760891524
347.52	325.253	71.83169760891522
349.321	323.899	70.47769760891524
351.121	329.333	75.91169760891526
352.92	338.99	85.56869760891524
354.719	357.172	103.75069760891526
356.519	369.677	116.25569760891526
358.316	383.071	129.64969760891526
360.115	387.717	134.29569760891522
361.911	384.97	131.54869760891526
363.707	370.727	117.30569760891521
365.504	348.99	95.56869760891524
367.3	331.939	78.51769760891526
369.095	313.151	59.729697608915245
370.889	299.111	45.689697608915225
372.683	285.859	32.437697608915215
374.477	283.05	29.628697608915246
376.271	276.768	23.346697608915207
378.064	271.636	18.21469760891526
379.857	268.141	14.719697608915254
381.649	269.071	15.649697608915261
383.439	267.313	13.891697608915223
385.231	265.859	12.437697608915215
387.022	264.909	11.487697608915227
388.811	266.343	12.921697608915252
390.602	264.162	10.740697608915212
392.39	268.566	15.144697608915209
394.178	268.444	15.022697608915252
395.968	272.949	19.527697608915247
397.755	277.131	23.709697608915207
399.542	282.141	28.719697608915254
401.329	285.737	32.31569760891526
403.115	290.768	37.34669760891521
404.901	300.667	47.24569760891521
406.686	307.475	54.05369760891526
408.472	320.889	67.46769760891524
410.256	330.162	76.74069760891521
412.041	341.939	88.51769760891526
413.823	357.556	104.13469760891522
415.607	360.162	106.74069760891521
417.39	360.121	106.69969760891522
419.171	355.051	101.62969760891522
420.954	349.333	95.91169760891526
422.734	341.475	88.05369760891526
424.514	338.808	85.38669760891523
426.296	340.626	87.20469760891521
428.075	355.252	101.83069760891524
429.854	369.616	116.19469760891522
431.633	377.98	124.55869760891525
433.411	381.313	127.89169760891522
435.189	378.0	124.57869760891523
436.967	361.657	108.23569760891522
438.744	342.061	88.63969760891521
440.521	326.343	72.92169760891525
442.295	311.05	57.628697608915246
444.072	301.899	48.477697608915236
445.848	293.556	40.13469760891522
447.621	290.424	37.00269760891521
449.396	287.616	34.19469760891522
451.169	291.111	37.689697608915225
452.944	291.475	38.05369760891526
454.716	296.202	42.78069760891523
456.487	301.152	47.73069760891522
458.259	310.364	56.94269760891521
460.03	311.899	58.477697608915236
461.803	316.283	62.86169760891525
463.573	317.96	64.53869760891521
465.343	313.01	59.588697608915226
467.111	305.899	52.477697608915236
468.88	300.687	47.26569760891525
470.649	291.232	37.81069760891526
472.418	286.242	32.82069760891525
474.184	284.606	31.18469760891523
475.952	283.677	30.255697608915256
477.718	283.273	29.85169760891526
479.485	286.485	33.06369760891525
481.25	285.859	32.437697608915215
483.017	285.576	32.15469760891526
484.781	284.727	31.30569760891521
486.545	283.717	30.29569760891522
488.308	282.061	28.639697608915213
490.072	278.929	25.50769760891521
491.835	273.96	20.538697608915214
493.597	267.515	14.093697608915221
495.359	262.949	9.527697608915247
497.121	259.232	5.810697608915262
498.883	256.485	3.0636976089152483
500.644	253.152	-0.2693023910847785
502.403	253.394	-0.027302391084759847
504.163	251.051	-2.3703023910847776
505.921	248.081	-5.3403023910847764
507.681	246.303	-7.118302391084768
509.439	245.313	-8.108302391084777
511.198	245.596	-7.825302391084762
512.955	242.929	-10.492302391084763
514.711	241.818	-11.603302391084753
516.467	238.788	-14.633302391084754
518.223	240.04	-13.381302391084773
519.978	241.313	-12.108302391084777
