,,B-Baseline
23.2408,44.6263,-813.4929786945477
25.1249,49.8586,-808.2606786945477
27.0086,55.4141,-802.7051786945477
28.8919,64.3434,-793.7758786945477
30.7748,71.1515,-786.9677786945476
32.6573,81.7172,-776.4020786945476
34.5395,91.8788,-766.2404786945477
36.4213,104.283,-753.8362786945477
38.3005,121.01,-737.1092786945477
40.1816,139.859,-718.2602786945477
42.0622,158.727,-699.3922786945477
43.9425,175.172,-682.9472786945477
45.8203,196.384,-661.7352786945477
47.6998,214.323,-643.7962786945477
49.5768,230.606,-627.5132786945477
51.4556,251.737,-606.3822786945477
53.3318,273.03,-585.0892786945477
55.2098,291.232,-566.8872786945476
57.0853,312.202,-545.9172786945477
58.9605,332.505,-525.6142786945477
60.8374,352.929,-505.1902786945477
62.7117,371.495,-486.6242786945477
64.5857,388.606,-469.5132786945477
66.4594,406.929,-451.1902786945477
68.3326,428.04,-430.07927869454767
70.2055,442.384,-415.7352786945477
72.078,452.727,-405.3922786945477
73.9501,457.495,-400.6242786945477
75.8219,462.263,-395.8562786945477
77.6911,473.071,-385.04827869454766
79.5621,475.051,-383.0682786945477
81.4327,481.657,-376.4622786945477
83.3009,485.192,-372.9272786945477
85.1707,489.475,-368.64427869454767
87.0403,496.525,-361.5942786945477
88.9072,502.626,-355.4932786945477
90.7739,505.555,-352.5642786945477
92.6423,502.263,-355.8562786945477
94.5081,503.01,-355.1092786945477
96.3737,494.626,-363.4932786945477
98.2409,495.434,-362.68527869454766
100.106,494.404,-363.7152786945477
101.97,497.535,-360.58427869454766
103.834,496.909,-361.2102786945477
105.698,498.343,-359.77627869454767
107.561,500.283,-357.8362786945477
109.424,498.627,-359.4922786945477
111.286,502.505,-355.6142786945477
113.149,507.192,-350.9272786945477
115.008,506.222,-351.8972786945477
116.87,505.091,-353.0282786945477
118.731,504.303,-353.8162786945477
120.591,500.626,-357.4932786945477
122.45,495.576,-362.54327869454767
124.31,494.424,-363.6952786945477
126.167,496.99,-361.1292786945477
128.024,497.657,-360.4622786945477
129.883,495.98,-362.13927869454767
131.739,498.909,-359.2102786945477
133.595,497.636,-360.48327869454766
135.453,502.727,-355.3922786945477
137.308,507.636,-350.48327869454766
139.163,510.242,-347.87727869454767
141.018,516.97,-341.14927869454766
142.872,521.596,-336.5232786945477
144.725,526.283,-331.8362786945477
146.579,531.495,-326.6242786945477
148.432,534.909,-323.2102786945477
150.282,540.566,-317.55327869454766
152.135,539.94,-318.17927869454763
153.986,542.747,-315.37227869454773
155.838,541.131,-316.9882786945477
157.687,543.536,-314.58327869454774
159.538,541.717,-316.4022786945477
161.386,539.637,-318.48227869454774
163.236,534.283,-323.8362786945477
165.084,536.929,-321.1902786945477
166.931,538.687,-319.4322786945477
168.78,543.616,-314.5032786945477
170.627,545.94,-312.17927869454763
172.473,543.253,-314.86627869454765
174.318,547.434,-310.6852786945477
176.164,548.909,-309.2102786945477
178.009,546.606,-311.5132786945477
179.854,547.475,-310.64427869454767
181.698,546.687,-311.4322786945477
183.542,546.465,-311.65427869454766
185.385,546.424,-311.6952786945477
187.226,545.556,-312.56327869454765
189.069,546.142,-311.97727869454764
190.912,548.707,-309.4122786945477
192.752,549.434,-308.6852786945477
194.593,547.758,-310.36127869454765
196.433,546.04,-312.0792786945477
198.274,549.636,-308.4832786945477
200.112,551.717,-306.4022786945477
201.95,554.889,-303.2302786945477
203.79,556.626,-301.4932786945477
205.628,557.091,-301.0282786945477
207.465,556.041,-302.07827869454763
209.302,555.232,-302.8872786945477
211.138,558.929,-299.1902786945477
212.974,554.626,-303.4932786945477
214.81,552.202,-305.9172786945477
216.645,548.121,-309.9982786945477
218.48,548.626,-309.4932786945477
220.314,549.495,-308.6242786945477
222.146,547.111,-311.0082786945477
223.98,554.546,-303.57327869454764
225.814,552.707,-305.4122786945477
227.645,557.859,-300.26027869454765
229.477,561.697,-296.4222786945477
231.308,561.838,-296.2812786945477
233.14,559.253,-298.86627869454765
234.969,565.091,-293.0282786945477
236.798,565.071,-293.04827869454766
238.627,563.879,-294.24027869454767
240.458,564.869,-293.25027869454766
242.286,565.434,-292.6852786945477
244.114,564.707,-293.4122786945477
245.941,562.586,-295.5332786945477
247.768,562.343,-295.7762786945477
249.595,561.354,-296.76527869454765
251.421,562.525,-295.5942786945477
253.245,563.333,-294.7862786945477
255.07,560.606,-297.5132786945477
256.896,561.273,-296.84627869454766
258.718,561.434,-296.6852786945477
260.543,563.576,-294.54327869454767
262.367,566.02,-292.0992786945477
264.189,565.616,-292.5032786945477
266.01,566.99,-291.1292786945477
267.833,572.525,-285.5942786945477
269.654,569.939,-288.1802786945477
271.474,574.424,-283.6952786945477
273.296,576.061,-282.05827869454765
275.116,578.667,-279.45227869454766
276.935,579.475,-278.64427869454767
278.754,585.454,-272.66527869454774
280.572,586.545,-271.57427869454773
282.39,597.677,-260.44227869454767
284.208,596.242,-261.8772786945477
286.023,597.616,-260.5032786945477
287.84,602.424,-255.6952786945477
289.657,604.465,-253.65427869454766
291.471,612.505,-245.6142786945477
293.287,611.394,-246.72527869454768
295.103,609.838,-248.28127869454772
296.916,608.404,-249.7152786945477
298.729,605.455,-252.66427869454765
300.543,613.192,-244.92727869454768
302.355,612.727,-245.3922786945477
304.167,611.212,-246.9072786945477
305.979,616.747,-241.37227869454773
307.792,614.283,-243.83627869454767
309.602,611.313,-246.8062786945477
311.413,612.303,-245.8162786945477
313.223,611.172,-246.94727869454766
315.032,613.071,-245.04827869454766
316.84,613.879,-244.24027869454767
318.648,619.333,-238.78627869454772
320.457,629.838,-228.28127869454772
322.265,631.556,-226.56327869454765
324.071,639.839,-218.28027869454763
325.878,647.192,-210.92727869454768
327.684,658.566,-199.55327869454766
329.49,670.061,-188.05827869454765
331.295,682.646,-175.47327869454773
333.099,693.677,-164.44227869454767
334.904,709.535,-148.58427869454772
336.708,720.364,-137.75527869454766
338.511,724.283,-133.83627869454767
340.313,722.586,-135.53327869454768
342.116,718.505,-139.6142786945477
343.917,710.081,-148.03827869454767
345.719,697.233,-160.88627869454774
347.52,693.838,-164.28127869454772
349.321,690.243,-167.87627869454764
351.121,694.364,-163.75527869454766
352.92,701.717,-156.4022786945477
354.719,714.323,-143.7962786945477
356.519,722.889,-135.23027869454768
358.316,735.293,-122.82627869454768
360.115,739.636,-118.48327869454772
361.911,734.384,-123.73527869454767
363.707,725.414,-132.7052786945477
365.504,710.99,-147.12927869454768
367.3,698.101,-160.0182786945477
369.095,686.182,-171.93727869454767
370.889,678.444,-179.67527869454773
372.683,671.313,-186.8062786945477
374.477,666.909,-191.2102786945477
376.271,662.444,-195.67527869454773
378.064,662.687,-195.43227869454768
379.857,659.172,-198.94727869454766
381.649,661.232,-196.88727869454772
383.439,664.364,-193.75527869454766
385.231,656.303,-201.8162786945477
387.022,660.222,-197.8972786945477
388.811,666.303,-191.8162786945477
390.602,658.424,-199.6952786945477
392.39,666.707,-191.4122786945477
394.178,667.778,-190.34127869454767
395.968,671.778,-186.34127869454767
397.755,671.071,-187.04827869454766
399.542,680.404,-177.7152786945477
401.329,686.202,-171.9172786945477
403.115,689.454,-168.66527869454774
404.901,695.03,-163.08927869454772
406.686,709.455,-148.66427869454765
408.472,718.02,-140.0992786945477
410.256,728.242,-129.87727869454773
412.041,739.374,-118.74527869454766
413.823,749.778,-108.34127869454767
415.607,756.788,-101.33127869454768
417.39,763.859,-94.26027869454765
419.171,756.242,-101.87727869454773
420.954,753.697,-104.42227869454769
422.734,743.515,-114.6042786945477
424.514,745.232,-112.88727869454772
426.296,747.293,-110.82627869454768
428.075,763.758,-94.36127869454765
429.854,776.768,-81.35127869454766
431.633,788.404,-69.71527869454769
433.411,789.596,-68.52327869454768
435.189,780.485,-77.63427869454767
436.967,771.879,-86.24027869454767
438.744,751.677,-106.44227869454767
440.521,733.333,-124.78627869454772
442.295,725.212,-132.9072786945477
444.072,712.949,-145.17027869454773
445.848,713.354,-144.76527869454765
447.621,710.384,-147.73527869454767
449.396,703.172,-154.94727869454766
451.169,703.859,-154.26027869454765
452.944,708.909,-149.2102786945477
454.716,710.141,-147.97827869454773
456.487,718.344,-139.77527869454764
458.259,728.242,-129.87727869454773
460.03,734.202,-123.91727869454769
461.803,743.899,-114.22027869454769
463.573,739.333,-118.78627869454772
465.343,738.222,-119.89727869454771
467.111,728.788,-129.33127869454768
468.88,722.182,-135.93727869454767
470.649,724.727,-133.3922786945477
472.418,718.97,-139.14927869454766
474.184,719.616,-138.5032786945477
475.952,719.172,-138.94727869454766
477.718,718.464,-139.65527869454763
479.485,720.364,-137.75527869454766
481.25,726.263,-131.85627869454765
483.017,720.97,-137.14927869454766
484.781,719.475,-138.64427869454767
486.545,719.212,-138.9072786945477
488.308,717.96,-140.15927869454765
490.072,712.525,-145.5942786945477
491.835,714.343,-143.77627869454773
493.597,709.05,-149.06927869454773
495.359,705.232,-152.88727869454772
497.121,699.374,-158.74527869454766
498.883,700.162,-157.95727869454765
500.644,695.091,-163.02827869454768
502.403,693.454,-164.66527869454774
504.163,693.818,-164.3012786945477
505.921,689.212,-168.9072786945477
507.681,689.435,-168.68427869454774
509.439,688.384,-169.73527869454767
511.198,686.646,-171.47327869454773
512.955,685.859,-172.26027869454765
514.711,685.636,-172.48327869454772
516.467,686.202,-171.9172786945477
518.223,685.172,-172.94727869454766
519.978,683.677,-174.44227869454767
521.733,683.293,-174.82627869454768
523.488,685.071,-173.04827869454766
525.243,681.091,-177.02827869454768
526.997,686.848,-171.27127869454773
528.75,684.95,-173.16927869454764
530.502,689.576,-168.54327869454767
532.255,686.121,-171.9982786945477
534.006,686.808,-171.3112786945477
535.758,690.202,-167.9172786945477
537.508,691.232,-166.88727869454772
539.26,694.707,-163.4122786945477
541.009,692.485,-165.63427869454767
542.758,692.748,-165.37127869454764
544.507,698.586,-159.53327869454768
546.255,697.152,-160.96727869454764
548.003,701.353,-156.76627869454774
549.751,705.091,-153.02827869454768
551.498,712.869,-145.25027869454766
553.245,717.434,-140.68527869454772
554.992,718.909,-139.2102786945477
556.738,723.657,-134.46227869454765
558.482,729.798,-128.3212786945477
560.228,738.263,-119.85627869454765
561.971,740.545,-117.57427869454773
563.716,744.949,-113.17027869454773
565.459,752.768,-105.35127869454766
567.201,756.828,-101.29127869454771
568.945,763.495,-94.62427869454768
570.687,771.535,-86.58427869454772
572.428,773.818,-84.3012786945477
574.169,774.545,-83.57427869454773
575.91,771.899,-86.22027869454769
577.65,762.929,-95.19027869454771
579.39,758.202,-99.91727869454769
581.13,753.293,-104.82627869454768
582.867,742.869,-115.25027869454766
584.606,742.97,-115.14927869454766
586.345,737.879,-120.24027869454767
588.081,736.263,-121.85627869454765
589.819,730.04,-128.07927869454772
591.555,732.545,-125.57427869454773
593.29,726.849,-131.27027869454764
595.027,726.222,-131.8972786945477
596.762,729.777,-128.34227869454764
598.496,724.263,-133.85627869454765
600.23,724.505,-133.6142786945477
601.964,728.0,-130.1192786945477
603.697,722.323,-135.7962786945477
605.43,730.667,-127.45227869454766
607.163,728.101,-130.0182786945477
608.895,728.02,-130.0992786945477
610.625,732.424,-125.69527869454771
612.357,730.566,-127.55327869454766
614.088,735.939,-122.18027869454772
615.817,729.232,-128.88727869454772
617.548,733.03,-125.08927869454772
619.276,731.455,-126.66427869454765
