,,B-Baseline
937.863,71.8788,4.50948324663004
939.506,71.8788,4.50948324663004
941.148,72.2828,4.913483246630037
942.788,71.3939,4.024583246630044
944.43,72.0606,4.691283246630036
946.072,72.7071,5.337783246630039
947.711,71.8788,4.50948324663004
949.352,72.0202,4.650883246630045
950.99,72.404,5.034683246630038
952.631,73.6363,6.266983246630048
954.269,73.1515,5.782183246630041
955.906,73.697,6.327683246630045
957.544,74.5858,7.216483246630048
959.181,74.7677,7.398383246630047
960.818,76.505,9.135683246630038
962.454,80.7071,13.337783246630039
964.09,82.404,15.034683246630038
965.726,85.9394,18.57008324663005
967.36,90.6263,23.256983246630043
968.995,96.5051,29.13578324663004
970.628,101.879,34.50968324663005
972.263,106.687,39.31768324663004
973.896,111.434,44.06468324663004
975.528,112.97,45.60068324663004
977.162,113.697,46.327683246630045
978.793,112.869,45.49968324663004
980.424,111.576,44.206683246630035
982.055,112.889,45.51968324663004
983.686,117.03,49.66068324663004
985.316,122.242,54.87268324663005
986.945,126.162,58.79268324663005
988.574,132.0,64.63068324663004
990.204,130.424,63.05468324663005
991.831,130.162,62.79268324663005
993.46,129.01,61.64068324663003
995.087,124.768,57.39868324663004
996.713,120.687,53.31768324663004
998.339,115.899,48.52968324663004
999.965,107.838,40.468683246630036
1001.59,103.96,36.590683246630036
1003.22,101.152,33.78268324663004
1004.84,102.04,34.67068324663005
1006.47,105.414,38.04468324663004
1008.09,108.162,40.79268324663005
1009.71,116.182,48.812683246630044
1011.34,121.859,54.48968324663004
1012.96,126.768,59.39868324663004
1014.58,133.697,66.32768324663004
1016.2,139.697,72.32768324663004
1017.82,150.061,82.69168324663005
1019.44,162.202,94.83268324663004
1021.06,181.273,113.90368324663004
1022.68,201.454,134.08468324663005
1024.3,213.737,146.36768324663004
1025.92,221.192,153.82268324663005
1027.54,219.798,152.42868324663004
1029.16,216.747,149.37768324663006
1030.78,214.788,147.41868324663005
1032.39,220.99,153.62068324663005
1034.01,239.98,172.61068324663003
1035.63,262.485,195.11568324663006
1037.24,287.939,220.56968324663006
1038.86,314.384,247.01468324663006
1040.47,344.465,277.09568324663
1042.08,366.222,298.85268324663
1043.7,397.354,329.98468324663
1045.31,420.747,353.37768324663006
1046.93,437.253,369.88368324663
1048.54,443.071,375.70168324663007
1050.15,438.667,371.29768324663
1051.76,430.263,362.89368324663
1053.37,429.111,361.74168324663003
1054.98,438.586,371.21668324663005
1056.6,452.949,385.57968324663005
1058.21,470.929,403.55968324663
1059.81,476.747,409.37768324663006
1061.42,469.616,402.24668324663
1063.03,447.798,380.42868324663004
1064.64,411.131,343.76168324663
1066.25,376.343,308.97368324663006
1067.86,342.606,275.23668324663004
1069.46,323.374,256.00468324663007
1071.07,309.778,242.40868324663006
1072.67,307.717,240.34768324663003
1074.28,312.121,244.75168324663002
1075.89,319.131,251.76168324663
1077.49,328.687,261.31768324663005
1079.09,332.02,264.65068324663
1080.7,330.465,263.09568324663
1082.3,324.99,257.62068324663005
1083.9,323.232,255.86268324663007
1085.51,329.475,262.10568324663006
1087.11,337.919,270.54968324663
1088.71,362.465,295.09568324663
1090.31,399.111,331.74168324663003
1091.91,450.081,382.71168324663006
1093.51,501.778,434.40868324663006
1095.11,547.839,480.4696832466301
1096.71,574.485,507.11568324663006
1098.31,574.626,507.25668324663
1099.91,550.02,482.65068324663
1101.51,524.242,456.87268324663
1103.1,494.99,427.62068324663005
1104.7,477.717,410.34768324663
1106.3,477.899,410.52968324663004
1107.89,496.303,428.93368324663004
1109.49,532.141,464.77168324663
1111.08,558.646,491.27668324663
1112.68,594.97,527.6006832466301
1114.28,635.212,567.84268324663
1115.87,683.677,616.3076832466301
1117.46,738.101,670.73168324663
1119.06,776.202,708.83268324663
1120.65,787.596,720.22668324663
1122.24,766.182,698.8126832466301
1123.83,731.515,664.14568324663
1125.42,676.0,608.63068324663
1127.02,609.071,541.7016832466301
1128.6,526.243,458.8736832466301
1130.19,446.788,379.41868324663005
1131.79,365.98,298.61068324663006
1133.37,299.091,231.72168324663005
1134.96,251.778,184.40868324663003
1136.55,220.505,153.13568324663004
1138.14,207.293,139.92368324663005
1139.73,201.778,134.40868324663003
1141.31,200.485,133.11568324663006
1142.9,202.242,134.87268324663003
1144.49,201.354,133.98468324663006
1146.07,200.424,133.05468324663005
1147.66,193.596,126.22668324663005
1149.24,189.939,122.56968324663004
1150.83,189.96,122.59068324663005
1152.41,193.677,126.30768324663003
1153.99,198.02,130.65068324663005
1155.58,205.899,138.52968324663004
1157.16,220.687,153.31768324663005
1158.74,230.747,163.37768324663006
1160.32,247.212,179.84268324663003
1161.9,252.081,184.71168324663003
1163.48,257.414,190.04468324663003
1165.07,253.859,186.48968324663005
1166.64,245.616,178.24668324663006
1168.22,230.97,163.60068324663004
1169.8,208.404,141.03468324663004
1171.38,185.475,118.10568324663004
1172.96,163.091,95.72168324663005
1174.54,145.232,77.86268324663004
1176.12,132.788,65.41868324663005
1177.69,124.99,57.62068324663004
1179.27,122.808,55.43868324663005
1180.84,124.768,57.39868324663004
1182.42,131.454,64.08468324663005
1183.99,143.414,76.04468324663003
1185.57,156.808,89.43868324663003
1187.14,173.859,106.48968324663005
1188.72,182.95,115.58068324663003
1190.29,185.192,117.82268324663005
1191.86,178.707,111.33768324663004
1193.43,168.182,100.81268324663003
1195.01,161.353,93.98368324663005
1196.58,154.566,87.19668324663004
1198.15,151.434,84.06468324663004
1199.72,152.404,85.03468324663004
1201.29,153.313,85.94368324663003
1202.86,152.323,84.95368324663005
1204.43,155.737,88.36768324663004
1206.0,162.545,95.17568324663003
1207.57,169.091,101.72168324663005
1209.14,175.212,107.84268324663003
1210.7,178.101,110.73168324663004
1212.27,179.01,111.64068324663003
1213.84,178.525,111.15568324663005
1215.4,174.101,106.73168324663004
1216.97,166.889,99.51968324663005
1218.53,162.95,95.58068324663003
1220.1,155.677,88.30768324663003
1221.66,150.848,83.47868324663006
1223.23,145.354,77.98468324663006
1224.79,136.707,69.33768324663004
1226.35,130.465,63.095683246630045
1227.92,125.111,57.741683246630046
1229.48,120.242,52.87268324663005
1231.04,115.131,47.76168324663004
1232.6,113.253,45.88368324663004
1234.16,111.313,43.943683246630044
1235.73,111.071,43.70168324663004
1237.29,114.162,46.79268324663005
1238.85,116.303,48.93368324663004
